,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
203,"ATQT","Attraqt Group Plc",AMQ1,ASQ1,"-4.24","-3.53",22.86,"-3.53",
204,"ATR","Schroder Asian Total Return Investment Company Plc",SSC5,SSMM,10.45,2.37,12.20,9.81,
205,"ATS","Artemis Alpha Trust Plc",SSC6,SSMM,2.38,0.33,3.10,2.26,
206,"ATST","Alliance Trust Plc",F25F,STMM,51.79,"-4.00",62.28,48.68,
207,"ATT","Allianz Technology Trust Plc",F25T,STMM,"-2.23","-2.56",2.77,"-2.56",
208,"ATY","Athelney Trust Plc",SQQ3,SSQ3,0.15,"-0.06",0.19,0.15,
209,"ATYM","Atalaya Mining Plc",AMQ1,ASQ1,134.41,112.39,341.19,112.39,
210,"AUCT","Auctus Growth Plc",SQCL,SSX3,"-0.06","-0.06",,"-0.06",
211,"AUG","Augean Plc",AMQ1,ASQ1,16.43,13.26,91.66,13.26,
212,"AUGM","Augmentum Fintech Plc",SSC5,SSMM,"-3.80","-3.80",,"-3.80",
213,"AUK","Aukett Swanke Group Plc",AIMP,ASX1,"-1.53","-1.12",12.01,"-1.12",
214,"AURA","Aura Energy Limited",AMQ1,ASQ1,"-1.62","-1.69",0.02,"-1.69",
215,"AURR","Aurrigo International Plc",AMQ1,ASQ1,"-4.61","-4.61",,"-4.61",
216,"AUSC","Abrdn Uk Smaller Companies Growth Trust Plc",SSC5,SSMM,6.39,"-1.27",,6.39,
217,"AUTG","Autins Group Plc",AMQ1,ASQ1,"-1.18","-1.08",23.43,"-1.08",
218,"AUTO","Auto Trader Group Plc",FS10,SET1,301.00,171.10,432.70,244.70,
219,"AUY","Yamana Gold Inc.",SQS3,SSQ3,284.33,109.07,1342.44,109.07,
220,"AV.","Aviva Plc",FS10,SET1,801.00,856.00,33184.00,1966.00,
221,"AV.A","Aviva 8 3/4% Pf",SQS3,SSQ3,801.00,856.00,33184.00,1966.00,
222,"AV.B","Aviva 8 3/8% Pf",SQS3,SSQ3,"-50.77","-61.37",85.12,"-61.37",
223,"AVAP","Avation Plc",SQS3,SSQ3,"-50.77","-61.37",85.12,"-61.37",
224,"AVCT","Avacta Group Plc",AIMP,ASX1,"-29.19","-26.32",2.94,"-26.32",
